series_ticker,market_ticker,end_period_ts,end_period_utc,volume,open_interest,price_open,price_high,price_low,price_close,yes_bid_close,yes_ask_close
KXH200MAX,KXH200MAX-26DEC31-5.790,1785816000,2026-08-04T04:00:00+00:00,12.00,1390.05,0.7900,0.7900,0.7900,0.7900,0.7800,0.7900
KXH200MAX,KXH200MAX-26DEC31-5.790,1785902400,2026-08-05T04:00:00+00:00,1.00,1389.05,0.7800,0.7800,0.7800,0.7800,0.7900,0.8300
KXH200MAX,KXH200MAX-26DEC31-5.790,1785988800,2026-08-06T04:00:00+00:00,0.00,1389.05,,,,,0.8000,0.8100
KXH200MAX,KXH200MAX-26DEC31-5.790,1786075200,2026-08-07T04:00:00+00:00,0.00,1389.05,,,,,0.7900,0.8000
KXH200MAX,KXH200MAX-26DEC31-5.790,1786161600,2026-08-08T04:00:00+00:00,0.00,1389.05,,,,,0.7900,0.8000
KXH200MAX,KXH200MAX-26DEC31-5.790,1786248000,2026-08-09T04:00:00+00:00,17.00,1405.05,0.8000,0.8000,0.8000,0.8000,0.7900,0.8000
KXH200MAX,KXH200MAX-26DEC31-5.790,1786334400,2026-08-10T04:00:00+00:00,4.00,1405.05,0.7900,0.7900,0.7800,0.7800,0.7800,0.7900
KXH200MAX,KXH200MAX-26DEC31-5.790,1786420800,2026-08-11T04:00:00+00:00,1.00,1406.05,0.7900,0.7900,0.7900,0.7900,0.7700,0.7800
KXH200MAX,KXH200MAX-26DEC31-5.790,1786507200,2026-08-12T04:00:00+00:00,148.32,1499.37,0.7700,0.7700,0.7200,0.7400,0.7400,0.7500
KXH200MAX,KXH200MAX-26DEC31-5.790,1786593600,2026-08-13T04:00:00+00:00,65.00,1564.37,0.7400,0.7400,0.7400,0.7400,0.7300,0.7400
KXH200MAX,KXH200MAX-26DEC31-5.790,1786680000,2026-08-14T04:00:00+00:00,0.00,1564.37,,,,,0.7200,0.7300
KXH200MAX,KXH200MAX-26DEC31-5.790,1786766400,2026-08-15T04:00:00+00:00,129.05,1691.95,0.7300,0.7600,0.7300,0.7600,0.7400,0.7600
KXH200MAX,KXH200MAX-26DEC31-5.790,1786852800,2026-08-16T04:00:00+00:00,68.07,1654.82,0.7300,0.8000,0.7300,0.8000,0.7500,0.7600
KXH200MAX,KXH200MAX-26DEC31-5.790,1786939200,2026-08-17T04:00:00+00:00,0.00,1654.82,,,,,0.7500,0.7600
KXH200MAX,KXH200MAX-26DEC31-5.790,1787025600,2026-08-18T04:00:00+00:00,24.94,1648.20,0.7300,0.7300,0.7200,0.7200,0.7600,0.7900
KXH200MAX,KXH200MAX-26DEC31-5.790,1787112000,2026-08-19T04:00:00+00:00,1.00,1648.20,0.7900,0.7900,0.7900,0.7900,0.7600,0.7900
KXH200MAX,KXH200MAX-26DEC31-5.790,1787198400,2026-08-20T04:00:00+00:00,0.00,1648.20,,,,,0.7400,0.7900
KXH200MAX,KXH200MAX-26DEC31-5.790,1787284800,2026-08-21T04:00:00+00:00,2.00,1648.20,0.7900,0.7900,0.7900,0.7900,0.7200,0.7400
KXH200MAX,KXH200MAX-26DEC31-5.790,1787371200,2026-08-22T04:00:00+00:00,7.00,1648.20,0.7400,0.7400,0.7400,0.7400,0.7700,0.8000
KXH200MAX,KXH200MAX-26DEC31-5.790,1787457600,2026-08-23T04:00:00+00:00,0.00,1648.20,,,,,0.7500,0.7900
