date,totalTokens,totalGrowthIndex,labs
2026-07-31,2315811058923,132.3360518324357,"[{'lab': 'anthropic', 'totalTokens': 718328161499, 'growthIndex': 84.43834931344044, 'share': 0.31018426945118244}, {'lab': 'openai', 'totalTokens': 992216573804, 'growthIndex': 315.30769574006865, 'share': 0.42845316330143274}, {'lab': 'google', 'totalTokens': 605266323620, 'growthIndex': 103.54361637627774, 'share': 0.2613625672473848}]"
2026-08-01,1763837485607,100.79375345406454,"[{'lab': 'anthropic', 'totalTokens': 411875317650, 'growthIndex': 48.41529792280511, 'share': 0.233510922072426}, {'lab': 'openai', 'totalTokens': 898145596498, 'growthIndex': 285.41371505734895, 'share': 0.5091997442093797}, {'lab': 'google', 'totalTokens': 453816571459, 'growthIndex': 77.63493052002279, 'share': 0.25728933371819424}]"
2026-08-02,1786038434892,102.06241739104193,"[{'lab': 'anthropic', 'totalTokens': 415434032549, 'growthIndex': 48.83361928044427, 'share': 0.23260083570044834}, {'lab': 'openai', 'totalTokens': 928611324530, 'growthIndex': 295.09514828314695, 'share': 0.5199279625727383}, {'lab': 'google', 'totalTokens': 441993077813, 'growthIndex': 75.61227166303112, 'share': 0.24747120172681328}]"
2026-08-03,2308718569389,131.93075449223346,"[{'lab': 'anthropic', 'totalTokens': 723276424341, 'growthIndex': 85.02000985348612, 'share': 0.31328046386026787}, {'lab': 'openai', 'totalTokens': 1024111704713, 'growthIndex': 325.4433662154051, 'share': 0.44358447074994944}, {'lab': 'google', 'totalTokens': 561330440335, 'growthIndex': 96.0274535459943, 'share': 0.24313506538978266}]"
2026-08-04,2421071406210,138.3511102374814,"[{'lab': 'anthropic', 'totalTokens': 745862622626, 'growthIndex': 87.674982055149, 'share': 0.3080713029416965}, {'lab': 'openai', 'totalTokens': 1114295971605, 'growthIndex': 354.10222370324726, 'share': 0.460249114812084}, {'lab': 'google', 'totalTokens': 560912811979, 'growthIndex': 95.95600937572742, 'share': 0.2316795822462195}]"
2026-08-05,3253419027955,185.9152660391544,"[{'lab': 'anthropic', 'totalTokens': 798132133570, 'growthIndex': 93.81918112750893, 'share': 0.24532103817923556}, {'lab': 'openai', 'totalTokens': 1203356862860, 'growthIndex': 382.4040936211328, 'share': 0.36987453891434124}, {'lab': 'google', 'totalTokens': 1251930031525, 'growthIndex': 214.16913159627592, 'share': 0.3848044229064232}]"
2026-08-06,3447920670168,197.02998081962704,"[{'lab': 'anthropic', 'totalTokens': 744602160840, 'growthIndex': 87.52681674813888, 'share': 0.21595687142178918}, {'lab': 'openai', 'totalTokens': 1286456678285, 'growthIndex': 408.8116461755388, 'share': 0.3731108692307348}, {'lab': 'google', 'totalTokens': 1416861831043, 'growthIndex': 242.38420702852923, 'share': 0.41093225934747607}]"
2026-08-07,2891877500850,165.25512708429676,"[{'lab': 'anthropic', 'totalTokens': 725746969416, 'growthIndex': 85.31041855415869, 'share': 0.2509604812799586}, {'lab': 'openai', 'totalTokens': 1284620601306, 'growthIndex': 408.2281755737221, 'share': 0.44421681102619864}, {'lab': 'google', 'totalTokens': 881509930128, 'growthIndex': 150.80093254016455, 'share': 0.30482270769384273}]"
2026-08-08,1954161104609,111.66971685018842,"[{'lab': 'anthropic', 'totalTokens': 547607333695, 'growthIndex': 64.37038363169411, 'share': 0.2802262988468233}, {'lab': 'openai', 'totalTokens': 972572342564, 'growthIndex': 309.06512990273063, 'share': 0.4976930204322115}, {'lab': 'google', 'totalTokens': 433981428350, 'growthIndex': 74.24170943915477, 'share': 0.2220806807209652}]"
2026-08-09,1932911844377,110.45543678505622,"[{'lab': 'anthropic', 'totalTokens': 561089712920, 'growthIndex': 65.95521617424842, 'share': 0.2902821018724968}, {'lab': 'openai', 'totalTokens': 949101269239, 'growthIndex': 301.6064658952557, 'share': 0.49102149795398786}, {'lab': 'google', 'totalTokens': 422720862218, 'growthIndex': 72.31535124896489, 'share': 0.21869640017351535}]"
